Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
30,tt12361974,2021-05-05,2021-05-05,,Zack Snyder's Justice League,https://www.imdb.com/title/tt12361974/,movie,7.9,242,2021,"Action, Adventure, Fantasy, Sci-Fi",426530,2021-03-18,Zack Snyder
31,tt0993840,2021-05-22,2021-05-22,,Army of the Dead,https://www.imdb.com/title/tt0993840/,movie,5.8,148,2021,"Action, Crime, Drama, Horror, Sci-Fi, Thriller, War",182256,2021-05-14,Zack Snyder
32,tt8404256,2021-05-22,2021-05-22,,Snake Eyes: G.I. Joe Origins,https://www.imdb.com/title/tt8404256/,movie,5.4,121,2021,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",43365,2021-07-21,Robert Schwentke
33,tt11083552,2021-06-06,2021-06-06,,Wrath of Man,https://www.imdb.com/title/tt11083552/,movie,7.1,119,2021,"Action, Crime, Thriller",198524,2021-04-22,Guy Ritchie
34,tt10121392,2021-06-25,2021-06-25,,Thunder Force,https://www.imdb.com/title/tt10121392/,movie,4.5,106,2021,"Action, Adventure, Comedy, Fantasy, Sci-Fi",44641,2021-04-09,Ben Falcone
35,tt2222042,2021-06-28,2021-06-28,,Love and Monsters,https://www.imdb.com/title/tt2222042/,movie,6.9,109,2020,"Action, Adventure, Comedy, Fantasy, Sci-Fi",138253,2020-10-16,Michael Matthews
36,tt6566576,2021-07-03,2021-07-03,,Fear Street: 1994,https://www.imdb.com/title/tt6566576/,movie,6.2,107,2021,"Drama, Horror, Mystery",91172,2021-06-28,Leigh Janiak
37,tt9701940,2021-07-03,2021-07-03,,Fear Street: 1978,https://www.imdb.com/title/tt9701940/,movie,6.7,109,2021,"Drama, Horror, Mystery",73485,2021-07-08,Leigh Janiak
38,tt9701942,2021-07-03,2021-07-03,,Fear Street: 1666,https://www.imdb.com/title/tt9701942/,movie,6.6,114,2021,"Horror, Mystery",61139,2021-07-14,Leigh Janiak
39,tt10327252,2021-07-11,2021-07-11,,The Forever Purge,https://www.imdb.com/title/tt10327252/,movie,5.4,103,2021,"Action, Crime, Horror, Thriller",41495,2021-06-30,Everardo Gout
40,tt10838180,2021-07-29,2021-07-29,,The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,movie,5.7,148,2021,"Action, Sci-Fi",270709,2021-12-16,Lana Wachowski
41,tt9844522,2021-07-29,2021-07-29,,Escape Room: Tournament of Champions,https://www.imdb.com/title/tt9844522/,movie,5.7,88,2021,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",56898,2021-07-01,Adam Robitel
42,tt6246322,2021-08-19,2021-08-19,,Don't Breathe 2,https://www.imdb.com/title/tt6246322/,movie,6.0,98,2021,"Action, Crime, Horror, Thriller",68579,2021-08-12,Rodo Sayagues
43,tt10731768,2021-08-20,2021-08-20,,Sweet Girl,https://www.imdb.com/title/tt10731768/,movie,5.5,110,2021,"Action, Drama, Thriller",34404,2021-08-20,Brian Andrew Mendoza
44,tt6338498,2021-08-23,2021-08-23,,Vivo,https://www.imdb.com/title/tt6338498/,movie,6.7,95,2021,"Animation, Adventure, Comedy, Drama, Family, Musical",21028,2021-07-30,"Kirk DeMicco, Brandon Jeffords"
45,tt3626476,2021-09-05,2021-09-05,,Vacation Friends,https://www.imdb.com/title/tt3626476/,movie,6.3,103,2021,"Adventure, Comedy",27962,2021-08-27,Clay Tarver
46,tt15469820,2021-09-29,2021-09-29,,Britney vs Spears,https://www.imdb.com/title/tt15469820/,movie,6.4,93,2021,"Documentary, Biography, Music",7845,2021-09-28,Erin Lee Carr
47,tt14867006,2021-10-13,2021-10-13,,V/H/S/94,https://www.imdb.com/title/tt14867006/,movie,5.5,103,2021,"Horror, Mystery, Thriller",12041,2021-09-26,"Chloe Okuno, Jennifer Reeder, Ryan Prows, Timo Tjahjanto, Steven Kostanski, Simon Barrett"
48,tt9421570,2021-10-13,2021-10-13,,The Guilty,https://www.imdb.com/title/tt9421570/,movie,6.3,90,2021,"Crime, Drama, Thriller",142018,2021-09-11,Antoine Fuqua
49,tt9347730,2021-11-05,2021-11-05,,Candyman,https://www.imdb.com/title/tt9347730/,movie,5.9,91,2021,"Horror, Thriller",73434,2021-08-22,Nia DaCosta
50,tt3420504,2021-11-05,2021-11-05,,Finch,https://www.imdb.com/title/tt3420504/,movie,6.9,115,2021,"Adventure, Drama, Sci-Fi",92633,2021-11-05,Miguel Sapochnik
51,tt13056008,2021-11-06,2021-11-06,,No One Gets Out Alive,https://www.imdb.com/title/tt13056008/,movie,5.4,87,2021,"Drama, Horror, Mystery, Thriller",19829,2021-09-29,Santiago Menghini
52,tt13024674,2021-11-07,2021-11-07,,Army of Thieves,https://www.imdb.com/title/tt13024674/,movie,6.4,127,2021,"Action, Comedy, Crime, Thriller",85462,2021-10-28,Matthias Schweighöfer
53,tt11286314,2022-01-10,2022-01-10,,Don't Look Up,https://www.imdb.com/title/tt11286314/,movie,7.2,138,2021,"Comedy, Drama, Sci-Fi",575656,2021-12-05,Adam McKay
54,tt13575806,2022-01-15,2022-01-15,,Back to the Outback,https://www.imdb.com/title/tt13575806/,movie,6.5,95,2021,"Animation, Adventure, Comedy, Family",9935,2021-12-03,"Clare Knight, Harry Cripps"
55,tt12536294,2022-10-02,2022-10-02,,Spencer,https://www.imdb.com/title/tt12536294/,movie,6.6,117,2021,"Biography, Drama",74454,2021-09-03,Pablo Larraín
